Designator,Mid X,Mid Y,Layer,Rotation
C1,121.92,-68.834,top,180
C2,121.8195,-70.358,top,0
C3,107.91,-63.5925,top,90
C4,104.8015,-72.898,top,180
C5,107.696,-72.39,top,-90
C6,97.56,-75.68,top,90
C7,111.239,-76.708,top,0
C8,90.22,-75.1,top,90
C9,87.54,-74.405,top,90
C10,83.5,-70.8351,top,90
C11,74.5,-67.25,top,90
C12,70,-67.5,top,-90
D1,99.06,-64.008,top,180
L1,121.546,-64.904,top,90
Q1,100.75,-67,top,90
R1,89.5585,-64.008,top,0
R2,98.298,-69.85,top,0
R3,123.444,-74.676,top,180
R4,123.952,-81.788,top,0
R5,105.4175,-64.58,top,180
R6,105.4225,-63.05,top,180
R7,101.4965,-72.898,top,0
U1,113.83,-68.33,top,180
U2,105.71,-68.56,top,0
U3,93.6375,-71.95,top,180
