Timestamp,Temperature,Pressure,Humidity,Battery,IP
="2026-07-09 16:09:15",23.78,986.72,64.11,3.294,69.58.106.82
="2026-07-09 16:18:54",23.78,986.50,63.90,3.296,69.58.106.82
="2026-07-09 17:14:15",23.93,986.53,64.54,3.294,69.58.106.82
="2026-07-09 17:14:38",23.96,986.53,64.73,3.294,69.58.106.82
="2026-07-09 17:16:02",24.03,986.63,64.33,3.292,69.58.106.82
="2026-07-09 17:16:57",24.05,986.56,64.69,3.296,69.58.106.82
="2026-07-09 17:45:44",22.92,986.89,64.38,3.296,69.58.106.82
="2026-07-09 19:12:06",21.28,985.97,68.38,3.294,69.58.106.82
="2026-07-09 20:09:45",21.10,985.78,70.82,3.294,69.58.106.82
="2026-07-09 20:38:33",21.04,986.58,70.77,3.296,69.58.106.82
="2026-07-09 23:02:36",22.05,987.32,77.78,3.294,69.58.106.82
="2026-07-09 23:31:23",22.42,987.36,76.44,3.294,69.58.106.82
="2026-07-10 00:28:55",22.91,987.05,76.48,3.294,69.58.106.82
="2026-07-10 00:57:42",23.07,986.97,76.30,3.296,69.58.106.82
="2026-07-10 01:26:30",23.16,986.90,76.00,3.294,69.58.106.82
="2026-07-10 01:55:20",23.26,986.79,75.49,3.294,69.58.106.82
="2026-07-10 02:24:08",23.32,986.96,75.66,3.294,69.58.106.82
="2026-07-10 02:52:55",23.36,987.04,75.49,3.294,69.58.106.82
="2026-07-10 03:21:43",23.40,987.15,75.66,3.294,69.58.106.82
="2026-07-10 04:19:16",23.48,987.37,75.78,3.294,69.58.106.82
="2026-07-10 05:16:47",23.52,987.91,75.89,3.294,69.58.106.82
="2026-07-10 05:45:37",23.53,987.96,75.94,3.294,69.58.106.82
="2026-07-10 06:14:24",23.51,987.99,74.89,3.294,69.58.106.82
="2026-07-10 07:11:56",22.31,988.60,70.20,3.294,69.58.106.82
="2026-07-10 07:40:46",21.74,989.02,69.71,3.294,69.58.106.82
="2026-07-10 08:09:39",21.38,989.06,69.91,3.296,69.58.106.82
="2026-07-10 08:38:27",21.06,989.08,70.03,3.296,69.58.106.82
="2026-07-17 10:27:01",21.21,995.65,57.25,3.296,69.58.106.82
="2026-07-20 10:31:00",23.56,990.58,0.00,3.071,69.58.106.82
="2026-07-20 15:45:17",28.51,986.15,29.51,3.005,142.189.5.66
="2026-07-20 15:46:34",28.28,986.15,31.07,3.007,142.189.5.66
="2026-07-20 15:46:47",28.26,986.09,29.58,3.005,142.189.5.66
="2026-07-20 15:46:59",28.24,986.12,29.48,3.027,142.189.5.66
="2026-07-20 15:47:24",28.20,986.15,29.78,2.929,142.189.5.66
="2026-07-20 15:47:34",28.13,986.15,30.73,3.019,142.189.5.66
="2026-07-20 16:27:37",34.53,985.35,21.33,3.014,142.189.5.66
="2026-07-20 16:27:48",34.44,985.41,21.06,3.018,142.189.5.66
="2026-07-20 16:28:01",33.93,985.47,20.88,2.978,142.189.5.66
="2026-07-20 16:28:13",33.32,985.53,21.69,3.019,142.189.5.66
="2026-07-20 16:28:29",32.88,985.38,22.75,2.996,142.189.5.66
="2026-07-20 16:28:41",32.42,985.50,22.95,3.009,142.189.5.66
="2026-07-20 16:28:53",32.03,985.50,23.34,3.012,142.189.5.66
="2026-07-20 16:29:06",31.67,985.53,23.86,2.976,142.189.5.66
="2026-07-20 16:29:18",31.35,985.51,24.37,3.016,142.189.5.66
="2026-07-20 16:29:34",31.08,985.42,24.89,2.982,142.189.5.66
="2026-07-20 16:29:47",30.73,985.48,25.55,3.005,142.189.5.66
="2026-07-21 17:59:08",27.61,975.11,56.87,2.985,142.189.5.66
="2026-07-22 10:33:48",21.61,985.96,41.03,2.962,69.58.106.82
="2026-07-22 10:34:00",21.59,985.91,40.14,2.967,69.58.106.82
="2026-07-22 10:34:13",21.60,985.85,42.40,2.969,69.58.106.82
="2026-07-22 10:44:58",21.70,986.05,39.74,2.991,69.58.106.82
="2026-07-22 10:46:14",21.71,986.22,40.72,2.991,69.58.106.82
="2026-07-22 10:48:06",21.66,986.13,39.52,2.994,69.58.106.82
="2026-07-22 10:53:27",21.99,986.27,43.98,2.943,69.58.106.82
="2026-07-22 10:53:41",22.19,986.21,41.18,2.948,69.58.106.82
="2026-07-22 10:59:51",22.69,986.29,37.57,2.980,69.58.106.82
="2026-07-22 11:00:05",22.60,986.21,37.60,2.980,69.58.106.82
="2026-07-22 11:00:27",22.51,986.30,37.69,2.982,69.58.106.82
="2026-07-22 11:00:42",22.41,986.30,37.88,2.982,69.58.106.82
="2026-07-22 11:00:56",22.30,986.35,37.91,2.983,69.58.106.82
="2026-07-22 11:01:10",22.23,986.33,39.13,2.924,69.58.106.82
="2026-07-22 11:01:30",22.27,986.47,38.29,2.945,69.58.106.82
="2026-07-22 11:04:32",22.35,986.50,38.14,2.978,69.58.106.82
="2026-07-22 11:05:15",22.21,986.41,38.52,2.980,69.58.106.82
="2026-07-22 11:05:31",22.48,986.44,37.76,2.976,69.58.106.82
="2026-07-22 11:05:33",22.48,986.44,37.76,2.976,69.58.106.82
